Membership No  Date Joined  Active  
    72192      2018-6-25    no    
    51103      2015-7-15    no    
    47649      2016-9-5     no    
    88748      2018-11-23   no    
    39671      2017-1-10    no    
    89354      2020-1-22    no    
    67025      2018-7-3     no    
    99367      2018-9-14    no    
    25269      2016-3-2     no    
    93645      2017-12-15   no    
    19978      2015-5-16    no    
    50657      2015-6-13    no    
    91413      2019-8-24    no    
    86710      2017-5-7     no    
