Membership No  Date Joined  Active  
    33349      2015-5-8     yes   
    22217      2017-10-5    no    
    81851      2015-4-12    yes   
    94929      2016-8-16    no    
    32608      2016-7-7     no    
    84059      2016-6-17    yes   
    88704      2018-4-14    no    
    22709      2020-6-3     no    
    90197      2017-3-9     yes   
    99571      2015-10-15   yes   
    59268      2019-11-15   yes   
    46714      2018-9-6     no    
    64158      2016-5-16    yes   
    95101      2016-8-1     no    
    59114      2018-2-17    no    
    27126      2019-6-7     no    
    47692      2017-1-10    no    
    53299      2016-12-16   yes   
    48557      2019-7-18    no    
    24902      2020-5-12    no    
